name,stage,index
tour-down-under,stage-1,0
tour-down-under,stage-2,1
tour-down-under,stage-3,2
tour-down-under,stage-4,3
tour-down-under,stage-5,4
tour-down-under,stage-6,5
great-ocean-race,one_day,6
uae-tour,stage-1,7
uae-tour,stage-2,8
uae-tour,stage-3,9
uae-tour,stage-4,10
uae-tour,stage-5,11
uae-tour,stage-6,12
uae-tour,stage-7,13
omloop-het-nieuwsblad,one_day,14
strade-bianche,one_day,15
paris-nice,stage-1,16
paris-nice,stage-2,17
paris-nice,stage-3,18
paris-nice,stage-4,19
paris-nice,stage-5,20
paris-nice,stage-6,21
paris-nice,stage-7,22
paris-nice,stage-8,23
tirreno-adriatico,stage-1,24
tirreno-adriatico,stage-3,25
tirreno-adriatico,stage-4,26
tirreno-adriatico,stage-5,27
tirreno-adriatico,stage-6,28
milano-sanremo,one_day,29
volta-a-catalunya,stage-1,30
volta-a-catalunya,stage-2,31
volta-a-catalunya,stage-3,32
volta-a-catalunya,stage-4,33
volta-a-catalunya,stage-5,34
volta-a-catalunya,stage-6,35
volta-a-catalunya,stage-7,36
classic-brugge-de-panne,one_day,37
e3-harelbeke,one_day,38
gent-wevelgem,one_day,39
dwars-door-vlaanderen,one_day,40
itzulia-basque-country,stage-1,41
itzulia-basque-country,stage-2,42
itzulia-basque-country,stage-3,43
itzulia-basque-country,stage-4,44
itzulia-basque-country,stage-5,45
itzulia-basque-country,stage-6,46
amstel-gold-race,one_day,47
la-fleche-wallone,one_day,48
liege-bastogne-liege,one_day,49
tour-de-romandie,prologue,50
tour-de-romandie,stage-1,51
tour-de-romandie,stage-2,52
tour-de-romandie,stage-3,53
tour-de-romandie,stage-4,54
tour-de-romandie,stage-5,55
eschborn-frankfurt,one_day,56
giro-d-italia,stage-1,57
giro-d-italia,stage-2,58
giro-d-italia,stage-3,59
giro-d-italia,stage-4,60
giro-d-italia,stage-5,61
giro-d-italia,stage-6,62
giro-d-italia,stage-7,63
giro-d-italia,stage-8,64
giro-d-italia,stage-9,65
giro-d-italia,stage-10,66
giro-d-italia,stage-12,67
giro-d-italia,stage-13,68
giro-d-italia,stage-14,69
giro-d-italia,stage-15,70
giro-d-italia,stage-16,71
giro-d-italia,stage-17,72
giro-d-italia,stage-18,73
giro-d-italia,stage-19,74
giro-d-italia,stage-20,75
giro-d-italia,stage-21,76
dauphine,stage-1,77
dauphine,stage-2,78
dauphine,stage-3,79
dauphine,stage-4,80
dauphine,stage-5,81
dauphine,stage-6,82
dauphine,stage-7,83
dauphine,stage-8,84
tour-de-suisse,stage-1,85
tour-de-suisse,stage-2,86
tour-de-suisse,stage-3,87
tour-de-suisse,stage-4,88
tour-de-suisse,stage-5,89
tour-de-suisse,stage-6,90
tour-de-suisse,stage-7,91
tour-de-suisse,stage-8,92
tour-de-france,stage-1,93
tour-de-france,stage-2,94
tour-de-france,stage-3,95
tour-de-france,stage-4,96
tour-de-france,stage-7,97
tour-de-france,stage-8,98
tour-de-france,stage-9,99
tour-de-france,stage-10,100
tour-de-france,stage-11,101
tour-de-france,stage-13,102
tour-de-france,stage-14,103
tour-de-france,stage-15,104
tour-de-france,stage-16,105
tour-de-france,stage-17,106
tour-de-france,stage-18,107
tour-de-france,stage-19,108
tour-de-france,stage-20,109
tour-de-france,stage-21,110
san-sebastian,one_day,111
tour-de-pologne,stage-1,112
tour-de-pologne,stage-2,113
tour-de-pologne,stage-3,114
tour-de-pologne,stage-4,115
tour-de-pologne,stage-5,116
tour-de-pologne,stage-6,117
tour-de-pologne,stage-7,118
vuelta-a-espana,stage-1,119
vuelta-a-espana,stage-2,120
vuelta-a-espana,stage-3,121
vuelta-a-espana,stage-4,122
vuelta-a-espana,stage-5,123
vuelta-a-espana,stage-6,124
vuelta-a-espana,stage-7,125
vuelta-a-espana,stage-8,126
vuelta-a-espana,stage-9,127
vuelta-a-espana,stage-10,128
vuelta-a-espana,stage-11,129
vuelta-a-espana,stage-12,130
vuelta-a-espana,stage-13,131
vuelta-a-espana,stage-14,132
vuelta-a-espana,stage-15,133
vuelta-a-espana,stage-16,134
vuelta-a-espana,stage-17,135
vuelta-a-espana,stage-19,136
vuelta-a-espana,stage-20,137
vuelta-a-espana,stage-21,138
bretagne-classic,one_day,139
renewi-tour,stage-2,140
renewi-tour,stage-3,141
renewi-tour,stage-5,142
cyclassics-hamburg,one_day,143
gp-quebec,one_day,144
gp-montreal,one_day,145
il-lombardia,one_day,146
tour-of-guangxi,stage-1,147
tour-of-guangxi,stage-2,148
tour-of-guangxi,stage-3,149
tour-of-guangxi,stage-4,150
tour-of-guangxi,stage-5,151
tour-of-guangxi,stage-6,152
