year,name,stage,date,distance,speed,score,vertical_meters,ranking,quality,won,url
2010,milano-sanremo,one_day,20 March 2010, 298 km,42.83 km/h,,,,1322, Sprint of large group,https://www.procyclingstats.com/race/milano-sanremo/2010/result
2010,gent-wevelgem,one_day,28 March 2010, 219 km,41.42 km/h,,,,823, Sprint of small group,https://www.procyclingstats.com/race/gent-wevelgem/2010/result
2010,itzulia-basque-country,stage-1,05 April 2010, 152 km,38.32 km/h,,,,799, Sprint of small group,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-1
2010,itzulia-basque-country,stage-2,06 April 2010, 217 km,36.814 km/h,,,,799, Sprint of large group,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-2
2010,itzulia-basque-country,stage-3,07 April 2010, 187 km,38.707 km/h,,,,799, Sprint of large group,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-3
2010,itzulia-basque-country,stage-4,08 April 2010, 160 km,39.141 km/h,,,,799, 0.5 km solo,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-4
2010,itzulia-basque-country,stage-5,09 April 2010, 170 km,41.151 km/h,,,,799, 15 km solo,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-5
2010,itzulia-basque-country,stage-6,10 April 2010, 22 km,40.553 km/h,,,,799, 15 km solo,https://www.procyclingstats.com/race/itzulia-basque-country/2010/stage-6
2010,tour-de-romandie,prologue,27 April 2010, 4.3 km,48.833 km/h,,,,678, 15 km solo,https://www.procyclingstats.com/race/tour-de-romandie/2010/prologue
2010,tour-de-romandie,stage-1,28 April 2010, 175.6 km,36.287 km/h,,,,678, Sprint of small group,https://www.procyclingstats.com/race/tour-de-romandie/2010/stage-1
2010,tour-de-romandie,stage-2,29 April 2010, 171.8 km,38.322 km/h,,,,678, Sprint of large group,https://www.procyclingstats.com/race/tour-de-romandie/2010/stage-2
2010,tour-de-romandie,stage-3,30 April 2010, 23.4 km,45.437 km/h,,,,678, Sprint of large group,https://www.procyclingstats.com/race/tour-de-romandie/2010/stage-3
2010,tour-de-romandie,stage-4,01 May 2010, 157.9 km,38.604 km/h,,,,678, 9 km solo,https://www.procyclingstats.com/race/tour-de-romandie/2010/stage-4
2010,tour-de-romandie,stage-5,02 May 2010, 121.8 km,33.784 km/h,,,,678, Sprint of small group,https://www.procyclingstats.com/race/tour-de-romandie/2010/stage-5
2010,dauphine,prologue,06 June 2010, 6.8 km,47.63 km/h,,,,673, Sprint of small group,https://www.procyclingstats.com/race/dauphine/2010/prologue
2010,dauphine,stage-2,07 June 2010, 191.5 km,39.977 km/h,,,,673, Sprint of large group,https://www.procyclingstats.com/race/dauphine/2010/stage-2
2010,dauphine,stage-3,08 June 2010, 177 km,40.202 km/h,,,,673, Sprint of large group,https://www.procyclingstats.com/race/dauphine/2010/stage-3
2010,dauphine,stage-4,09 June 2010, 49 km,47.534 km/h,,,,673, Sprint of large group,https://www.procyclingstats.com/race/dauphine/2010/stage-4
2010,dauphine,stage-5,10 June 2010, 210.5 km,34.755 km/h,,,,673, 1.7 km solo,https://www.procyclingstats.com/race/dauphine/2010/stage-5
2010,dauphine,stage-6,11 June 2010, 143.5 km,41.742 km/h,,,,673, ? km solo,https://www.procyclingstats.com/race/dauphine/2010/stage-6
2010,dauphine,stage-7,12 June 2010, 151.5 km,43.077 km/h,,,,673, Sprint à deux,https://www.procyclingstats.com/race/dauphine/2010/stage-7
2010,dauphine,stage-8,13 June 2010, 148 km,40.42 km/h,,,,673, 8.9 km solo,https://www.procyclingstats.com/race/dauphine/2010/stage-8
2010,tour-de-suisse,prologue,12 June 2010, 7.6 km,44.058 km/h,,,,1198, 8.9 km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/prologue
2010,tour-de-suisse,stage-1,13 June 2010, 167.5 km,37.89 km/h,,,,1198, Sprint of large group,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-1
2010,tour-de-suisse,stage-2,14 June 2010, 196.6 km,39.01 km/h,,,,1198, Sprint à deux,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-2
2010,tour-de-suisse,stage-3,15 June 2010, 192.2 km,38.757 km/h,,,,1198, Sprint of large group,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-3
2010,tour-de-suisse,stage-4,16 June 2010, 172.5 km,39.597 km/h,,,,1198, ? km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-4
2010,tour-de-suisse,stage-5,17 June 2010, 213.3 km,33.6 km/h,,,,1198, 10 km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-5
2010,tour-de-suisse,stage-6,18 June 2010, 204.1 km,41.934 km/h,,,,1198, 55 km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-6
2010,tour-de-suisse,stage-7,19 June 2010, 172.4 km,41.29 km/h,,,,1198, 10.2 km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-7
2010,tour-de-suisse,stage-8,20 June 2010, 26.9 km,49.866 km/h,,,,1198, 10.2 km solo,https://www.procyclingstats.com/race/tour-de-suisse/2010/stage-8
2010,san-sebastian,one_day,31 July 2010, 234 km,41.635 km/h,,,,971, Sprint à deux,https://www.procyclingstats.com/race/san-sebastian/2010/result
2010,tour-de-pologne,stage-1,01 August 2010, 175.1 km,42.788 km/h,,,,474, Sprint of large group,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-1
2010,tour-de-pologne,stage-2,02 August 2010, 240 km,39.684 km/h,,,,474, Sprint of large group,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-2
2010,tour-de-pologne,stage-3,03 August 2010, 122.1 km,44.38 km/h,,,,474, Sprint of large group,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-3
2010,tour-de-pologne,stage-4,04 August 2010, 177.9 km,43.11 km/h,,,,474, Sprint of small group,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-4
2010,tour-de-pologne,stage-5,05 August 2010, 149 km,38.67 km/h,,,,474, 3.5 km solo,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-5
2010,tour-de-pologne,stage-6,06 August 2010, 228.5 km,38.674 km/h,,,,474, 2.8 km solo,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-6
2010,tour-de-pologne,stage-7,07 August 2010, 163.9 km,42.394 km/h,,,,474, Sprint of large group,https://www.procyclingstats.com/race/tour-de-pologne/2010/stage-7
2010,vuelta-a-espana,stage-1,28 August 2010, 13 km,55.32 km/h, 0,33,,1123, Sprint of large group,https://www.procyclingstats.com/race/vuelta-a-espana/2010/stage-1
