url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/camilo-andres-suarez,Camilo Andres  Suarez,Colombia, 67 kg   , 1.78 m,0,45,19,0,2,0
https://www.procyclingstats.com/rider/kim-kirchen,Kim  Kirchen,Luxembourg, 68 kg   , 1.78 m,1840,2538,1426,130,1164,670
https://www.procyclingstats.com/rider/robert-hunter,Robert  Hunter,South Africa, 72 kg   , 1.78 m,1038,1111,1327,1022,68,483
https://www.procyclingstats.com/rider/jorge-azanza,Jorge  Azanza,Spain, 68 kg   , 1.85 m,118,259,12,0,15,8
https://www.procyclingstats.com/rider/josu-etxeberria-azpilikueta,Josu  Etxeberria,Spain, 65 kg   , 1.78 m,0,0,0,1,0,7
https://www.procyclingstats.com/rider/yonathan-monsalve,Yonathan  Monsalve,Venezuela, 62 kg   , 1.76 m,244,642,9,58,390,312
https://www.procyclingstats.com/rider/dylan-groenewegen,Dylan  Groenewegen,Netherlands, 70 kg   , 1.77 m,3987,380,15,6112,38,967
https://www.procyclingstats.com/rider/rainer-kepplinger,Rainer  Kepplinger,Austria, 70 kg   , 1.79 m,10,229,161,0,82,50
https://www.procyclingstats.com/rider/simon-gerrans,Simon  Gerrans,Australia, 62 kg   , 1.69 m,4415,2136,383,60,1252,2100
https://www.procyclingstats.com/rider/rune-herregodts,Rune  Herregodts,Belgium, 70 kg   , 1.81 m,406,281,483,180,156,258
https://www.procyclingstats.com/rider/francis-mourey,Francis  Mourey,France, 62 kg   , 1.71 m,242,389,55,0,86,49
https://www.procyclingstats.com/rider/bart-dockx,Bart  Dockx,Belgium, 64 kg   , 1.76 m,178,158,28,0,4,0
https://www.procyclingstats.com/rider/michel-koch,Michel  Koch,Germany, 69 kg   , 1.81 m,63,66,102,6,9,0
https://www.procyclingstats.com/rider/stefano-agostini,Stefano  Agostini,Italy, 62 kg   , 1.72 m,80,34,0,1,35,15
https://www.procyclingstats.com/rider/benjamin-gourgue,Benjamin  Gourgue,Belgium, 62 kg   , 1.66 m,56,0,0,0,6,0
https://www.procyclingstats.com/rider/bobbie-traksel,Bobbie  Traksel,Netherlands, 72 kg   , 1.80 m,906,260,87,2,22,0
https://www.procyclingstats.com/rider/andrea-di-corrado,Andrea di Corrado,Italy,,,0,50,0,0,30,0
https://www.procyclingstats.com/rider/sergio-higuita,Sergio  Higuita,Colombia, 57 kg   , 1.66 m,1116,2118,130,64,2302,1267
https://www.procyclingstats.com/rider/carlos-sastre,Carlos  Sastre,Spain, 61 kg   , 1.71 m,771,5555,2473,30,4486,772
https://www.procyclingstats.com/rider/daniele-righi,Daniele  Righi,Italy, 70 kg   , 1.80 m,466,446,39,58,96,104
https://www.procyclingstats.com/rider/cedric-beullens,Cedric  Beullens,Belgium, 79 kg   , 1.90 m,530,115,20,285,9,128
https://www.procyclingstats.com/rider/ricardo-van-der-velde,Ricardo van der Velde,Netherlands,,,33,70,28,0,8,0
https://www.procyclingstats.com/rider/aleksey-rybalkin,Aleksey  Rybalkin,Russia, 60 kg   , 1.74 m,22,264,12,0,127,12
https://www.procyclingstats.com/rider/bjorn-leukemans,Björn  Leukemans,Belgium, 67 kg   , 1.77 m,4055,982,11,13,338,464
https://www.procyclingstats.com/rider/patrick-gamper,Patrick  Gamper,Austria, 80 kg   , 1.94 m,203,93,169,75,19,81
https://www.procyclingstats.com/rider/patrick-bevin,Patrick  Bevin,New Zealand, 75 kg   , 1.80 m,83,785,1559,160,516,1014
https://www.procyclingstats.com/rider/kasper-asgreen,Kasper  Asgreen,Denmark, 75 kg   , 1.91 m,1594,796,2362,303,496,1422
https://www.procyclingstats.com/rider/jarne-van-de-paar,Jarne Van de Paar,Belgium, 79 kg   , 1.87 m,275,117,0,622,0,20
https://www.procyclingstats.com/rider/corbin-strong,Corbin  Strong,New Zealand, 64 kg   , 1.71 m,1241,334,30,262,325,1384
https://www.procyclingstats.com/rider/valentin-baillifard,Valentin  Baillifard,Switzerland, 54 kg   , 1.69 m,0,92,7,1,53,9
https://www.procyclingstats.com/rider/olivier-pardini,Olivier  Pardini,Belgium, 68 kg   , 1.80 m,415,266,393,98,53,132
https://www.procyclingstats.com/rider/darwin-ferney-pantoja,Darwin Ferney  Pantoja,Colombia, 59 kg   , 1.65 m,0,6,0,0,2,0
https://www.procyclingstats.com/rider/robert-power,Robert  Power,Australia, 68 kg   , 1.84 m,608,264,64,2,364,153
https://www.procyclingstats.com/rider/silvio-herklotz,Silvio  Herklotz,Germany, 68 kg   , 1.90 m,170,314,128,0,56,47
https://www.procyclingstats.com/rider/peter-koning,Peter  Koning,Netherlands, 77 kg   , 1.90 m,19,123,304,10,56,11
https://www.procyclingstats.com/rider/zico-waeytens,Zico  Waeytens,Belgium, 67 kg   , 1.80 m,445,275,12,74,31,212
https://www.procyclingstats.com/rider/robin-chaigneau,Robin  Chaigneau,Netherlands, 80 kg   , 1.85 m,123,3,9,0,2,0
https://www.procyclingstats.com/rider/fredrik-ludvigsson,Fredrik  Ludvigsson,Sweden, 71 kg   , 1.89 m,23,159,132,7,2,2
https://www.procyclingstats.com/rider/nicolas-edet,Nicolas  Edet,France, 60 kg   , 1.76 m,475,1575,78,0,1012,448
https://www.procyclingstats.com/rider/garrett-mcleod,Garrett  Mcleod,Canada,,,11,1,14,0,0,0
https://www.procyclingstats.com/rider/denis-galimzyanov,Denis  Galimzyanov,Russia, 75 kg   , 1.82 m,485,55,61,163,6,130
